City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Kerman,IR,30.2832,57.0788,21.2,42,0,4.61,clear sky
296,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.57,85,24,8.3,few clouds
297,Stornoway,GB,58.2093,-6.3865,28.4,93,75,3.44,light snow
298,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.41,94,81,1.05,light rain
299,Portland,US,45.5234,-122.6762,42.01,75,86,3.53,overcast clouds
300,Tagusao,PH,9.1924,117.8141,81.97,80,10,7.09,light rain
301,Mezen,RU,65.8522,44.24,2.26,93,100,8.63,overcast clouds
302,Biltine,TD,14.5333,20.9167,65.95,23,2,9.19,clear sky
303,Laguna,US,38.421,-121.4238,46.99,76,1,4.61,clear sky
304,Tendo,JP,38.3536,140.3697,37.4,70,75,4.61,broken clouds
305,Porlamar,VE,10.958,-63.8491,75.9,86,0,12.75,clear sky
306,Pasni,PK,25.2631,63.471,62.29,31,0,26.04,clear sky
307,Marzuq,YE,14.4,46.4667,59.61,32,92,2.91,overcast clouds
308,Nagorsk,RU,59.3172,50.8078,12.9,96,100,6.4,light snow
309,Burgeo,CA,47.6167,-57.6152,27.1,94,95,15.99,light snow
310,Emerald,AU,-23.5333,148.1667,91.4,29,40,10.36,scattered clouds
311,Ambanja,MG,-13.6833,48.45,78.8,77,75,2.3,broken clouds
312,Belaya Gora,RU,68.5333,146.4167,-30.48,84,100,4.99,overcast clouds
313,Sabang,ID,5.8933,95.3214,81.19,73,32,9.98,scattered clouds
314,Sakaiminato,JP,35.55,133.2333,48.2,66,75,11.5,broken clouds
315,Malmyzh,RU,56.5205,50.6818,33.37,97,100,7.99,overcast clouds
316,Barabinsk,RU,55.3571,78.357,-40.0,80,12,6.51,few clouds
317,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,0,20.71,clear sky
318,Totness,SR,5.8833,-56.3167,76.89,88,100,10.29,overcast clouds
319,Margate,GB,51.3813,1.3862,34.0,81,1,1.99,clear sky
320,Mehamn,NO,71.0357,27.8492,18.21,92,99,24.58,overcast clouds
321,Rwamagana,RW,-1.9487,30.4347,60.8,100,75,2.3,fog
322,Vestmannaeyjar,IS,63.4427,-20.2734,31.14,88,93,17.67,overcast clouds
323,Sayyan,YE,15.1718,44.3244,54.46,38,3,1.97,clear sky
324,Mazamari,PE,-11.3258,-74.5308,69.13,82,99,1.21,light rain
325,Saint George,US,37.1041,-113.5841,44.01,70,75,3.44,broken clouds
326,Barmer,IN,25.75,71.3833,65.05,24,0,10.13,clear sky
327,Magugu,TZ,-4.0167,35.7667,67.69,86,100,1.36,overcast clouds
328,Giyani,ZA,-23.3025,30.7187,71.38,95,100,20.15,heavy intensity rain
329,Itaituba,BR,-4.2761,-55.9836,78.8,94,40,1.21,scattered clouds
330,Jonesboro,US,35.8423,-90.7043,43.0,60,58,5.99,broken clouds
331,Kholtoson,RU,50.2981,103.3097,9.0,91,100,2.82,light snow
332,Pianco,BR,-7.1981,-37.9292,73.18,77,83,5.93,broken clouds
333,Stolin,BY,51.8912,26.846,32.25,98,95,8.66,overcast clouds
334,Tiksi,RU,71.6872,128.8694,-41.28,79,57,5.26,broken clouds
335,San Patricio,US,28.017,-97.5169,69.8,100,90,4.61,mist
336,Batabano,CU,22.7164,-82.2881,64.4,100,20,4.61,few clouds
337,Nouadhibou,MR,20.931,-17.0347,68.83,44,100,11.95,overcast clouds
338,Koumac,NC,-20.5667,164.2833,82.56,73,95,9.95,overcast clouds
339,Kailua,US,21.4022,-157.7394,75.2,73,90,13.8,overcast clouds
340,Ola,RU,59.5833,151.2833,-11.76,82,90,10.09,overcast clouds
341,Port Keats,AU,-14.25,129.55,87.67,65,100,10.22,light rain
342,Ongandjera,NA,-17.8833,15.0667,67.35,70,100,3.62,overcast clouds
343,Pevek,RU,69.7008,170.3133,-19.75,88,94,4.12,overcast clouds
344,San Juan De Colon,VE,8.0313,-72.2605,66.67,82,57,4.05,broken clouds
345,Chany,RU,55.3121,76.7647,-40.67,79,1,5.5,clear sky
